genus,species,cultivar,common_name,usda_code,itree_code,flowering,flower_time,fall_color,edible,fruiting_time,wildlife,native,webpage_link
Paulownia ,tomentosa,,Royal paulownia,PATO,BDM OTHER,,,,,,,,
Phoenix ,canariensis,,Canary island date palm,PHCA,PHCA,,,,,,,,
Phoenix ,dactylifera,,Date palm,PHDA4,PHDA4,,,,,,,,
Photinia ,x fraseri,,Fraser photinia,PHFR,BES OTHER,,,,,,,,
Picea ,abies,,Norway spruce,PIAB,CEL OTHER,,,,,,,,
Picea ,glauca,,White spruce,PIGL1,CEL OTHER,,,,,,,,
Picea ,pungens,,Blue spruce,PIPU,CEL OTHER,,,,,,,,
Picea ,sitchensis,,Sitka spruce,PISI,CEL OTHER,,,,,,,,
Pinus ,aristata,,Bristlecone pine,PIAR,CES OTHER,,,,,,,,
Pinus ,contorta,,Lodgepole pine,PICO,PICO5,,,,,,,,
Pinus ,contorta var. bolanderi,,Bolander beach pine,PICO5,PICO5,,,,,,,,
Pinus ,contorta var. latifolia,,Tall lodgepole pine,PICO6,PICO5,,,,,,,,
Pinus ,densiflora,,Japanese red pine,PIDE,CEL OTHER,,,,,,,,
Pinus ,mugo,,Sweet mountain pine,PIMU,CADE2,,,,,,,,
Pinus ,pinea,,Itailian stone pine,PIPI2,CADE2,,,,,,,,
Pinus ,ponderosa,,Ponderosa pine,PIPO,CEL OTHER,,,,,,,,
Pinus ,sylvestris,,Scotch pine,PISY,CEL OTHER,,,,,,,,
Pinus ,thunbergiana,,Japanese black pine,PITH,CEL OTHER,,,,,,,,
Platanus ,hybrida,,London planetree,PLAC,ACMA,,,,,,,,
Populus ,alba,,White poplar,POAL,POTR2,,,,,,,,
Populus ,alba ,'Pyramidalis',White poplar 'Pyramidalis',POALPY,POTR2,,,,,,,,
Populus ,nigra,,Black poplar,PONI,POTR2,,,,,,,,
Populus ,tremuloides,,Quaking aspen,POTR1,POTR2,,,,,,,,
Populus ,balsamifera ssp. trichocarpa,,Black cottonwood,POTR2,POTR2,,,,,,,,
Prunus ,avium,,Sweet cherry,PRAV,PRSE2,,,,,,,,
Prunus ,blieriana,,Blierana plum,PRBL,PRSE2,,,,,,,,
Prunus ,cerasifera,,Cherry plum,PRCE,PRCEKW,,,,,,,,
Prunus ,cerasifera ,'Thundercloud',Thundercloud purple plum,PRCEKW,PRCEKW,,,,,,,,
Prunus ,domestica,,Common plum,PRDO,PRSE2,,,,,,,,
Prunus ,laurocerasus,,Common cherry laurel,PRLA,PRSE2,,,,,,,,
Prunus ,persica,,Peach,PRPE2,PRSE2,,,,,,,,
Prunus, errulata,'Amanogawa',Amanogawa cherry,PRSEAM,PRSE2,,,,,,,,
Prunus ,serrulata,,Kwanzan cherry,PRSE2,PRSE2,,,,,,,,
Prunus ,serrulata,'Shirofugen',Shirofugen cherry,PRSESH,PRSE2,,,,,,,,
Prunus, serrulata,'Shirotae',Shirotae cherry,PRSESO,PRSE2,,,,,,,,
Prunus ,subhirtella,,Higan cherry,PRSU,PRSE2,,,,,,,,
Prunus ,yedoensis,,Yoshino flowering cherry,PRYE,BDM OTHER,,,,,,,,
Pseudotsuga ,menziesii,,Douglas fir,PSME,PSME,,,,,,,,
Pyrus ,calleryana,'Cleveland',Cleveland pear,PYCACL,PYKA,,,,,,,,
Pyrus ,communis,,Common pear,PYCO,PYKA,,,,,,,,
Pyrus ,kawakamii,,Evergreen pear,PYKA,PYKA,,,,,,,,
Quercus ,agrifolia,,Coastal live oak; California live oak,QUAG,QUAG,,,,,,,,
Quercus ,alba,,White oak,QUAL,QURU,,,,,,,,
Quercus ,coccinea,,Scarlet oak,QUCO,QURU,,,,,,,,
Quercus ,macrocarpa,,Bur oak,QUMA1,QURU,,,,,,,,
Quercus ,palustris,,Pin oak,QUPA,QURU,,,,,,,,
Quercus ,rubra,,Northern red oak,QURU,QURU,,,,,,,,
Rhus ,glabra,,Smooth sumac,RHGL,BDS OTHER,,,,,,,,
Rhus ,hirta,,Staghorn sumac,RHTY,BDS OTHER,,,,,,,,
Robinia,pseudoacacia,,Black locust,ROPS,BDM OTHER,,,,,,,,
Salix ,amygdaloides,,Peachleaf willow,SAAM,BDM OTHER,,,,,,,,
Salix,x sepulcralis Simonkai,,Weeping willow,SABA,BDM OTHER,,,,,,,,
Salix ,matsudana,,Corkscrew willow,SAMA,BDM OTHER,,,,,,,,
Salix ,scouleriana,,Scouler willow,SASC,BDM OTHER,,,,,,,,
Sambucus ,caerulea var neomexicana,,Neomexican blue elderberry,SACANE,BDS OTHER,,,,,,,,
Sciadopitys ,verticillata,,Umbrella pine,SCVE,PSME,,,,,,,,
Sequoia ,sempervirens,,Coast redwood,SESE,PSME,,,,,,,,
Sequoiadendron ,giganteum,,Giant sequoia,SEGI,PSME,,,,,,,,
Sorbus ,aucuparia,,European mountain ash,SOAU,BDS OTHER,,,,,,,,
Syringa ,reticulata,,Japanese tree lilac,SYRE,BDS OTHER,,,,,,,,
Syringa ,vulgaris,,Common lilac,SYVU,BDS OTHER,,,,,,,,
Taxodium ,distichum,,Baldcypress,TADI,BDL OTHER,,,,,,,,
Taxus ,baccata,,English yew,TABA,CES OTHER,,,,,,,,
Taxus ,brevifolia,,Pacific yew,TABR,PSME,,,,,,,,
Thuja ,occidentalis,,Northern white cedar,THOC,PSME,,,,,,,,
Thuja ,plicata,,Western red cedar,THPL,PSME,,,,,,,,
Tilia ,americana,,American basswood,TIAM,TIAM,,,,,,,,
Tilia ,cordata,,Littleleaf linden,TICO,TICO,,,,,,,,
Tilia ,americana var. heterophylla,,White basswood,TIHE,TIAM,,,,,,,,
Tsuga ,heterophylla,,Western hemlock,TSHE,PSME,,,,,,,,
Tsuga ,mertensiana,,Mountain hemlock,TSME,CES OTHER,,,,,,,,
Ulmus ,americana,,American elm,ULAM,ULAM,,,,,,,,
Ulmus ,american,'Liberty',Liberty elm,ULAMLI,ULAM,,,,,,,,
Ulmus,procera,,English elm,ULPR,ULAM,,,,,,,,
Ulmus ,pumila,,Siberian elm,ULPU,ULAM,,,,,,,,
Washingtonia ,robusta,,Mexican fan palm,WARO,WARO,,,,,,,,
Wisteria ,sinensis,,Purple wisteria,WISI,BDS OTHER,,,,,,,,
Broadleaf Deciduous Large,,,BDL OTHER,BDL OTHER,ACMA,,,,,,,,
Broadleaf Deciduous Medium,,,BDM OTHER,BDM OTHER,TICO,,,,,,,,
Broadleaf Deciduous Small,,,BDS OTHER,BDS OTHER,PRSE2,,,,,,,,
Broadleaf Evergreen Large,,,BEL OTHER,BEL OTHER,QUAG,,,,,,,,
Broadleaf Evergreen Medium,,,BEM OTHER,BEM OTHER,ILOP,,,,,,,,
Broadleaf Evergreen Small,,,BES OTHER,BES OTHER,PYKA,,,,,,,,
Conifer Evergreen Large,,,CEL OTHER,CEL OTHER,PSME,,,,,,,,
Conifer Evergreen Medium,,,CEM OTHER,CEM OTHER,CADE2,,,,,,,,
Conifer Evergreen Small,,,CES OTHER,CES OTHER,PICO5,,,,,,,,
Palm Evergreen Large,,,PEL OTHER,PEL OTHER,PHCA,,,,,,,,
Palm Evergreen Medium,,,PEM OTHER,PEM OTHER,PHDA4,,,,,,,,
Palm Evergreen Small,,,PES OTHER,PES OTHER,WARO,,,,,,,,
